party_name,investment,levenshtein_score,jaro_winkler_score,average_score
akanoc solutions,atheros communications,0.4545454545454546,0.7748688811188811,0.6147071678321678
akins,amedisys,0.375,0.6583333333333333,0.5166666666666666
akona,altna,0.6,0.76,0.6799999999999999
albany city school district,arlington ny cent schl dist series b due,0.4,0.6519079685746352,0.5259539842873175
albarado,albertson,0.5555555555555556,0.8087962962962962,0.6821759259259259
alberto san,albertson,0.7272727272727273,0.9414141414141414,0.8343434343434344
albizu rodríguez,altnia group,0.3125,0.6805555555555555,0.49652777777777773
alcarazemmanuelli,alcatellucent,0.3529411764705882,0.8221216691804927,0.5875314228255404
alcoa,altna,0.6,0.7866666666666667,0.6933333333333334
alden,amgen,0.6,0.76,0.6799999999999999
alegent health,allee del,0.4285714285714286,0.8074074074074074,0.617989417989418
alexander,armanda,0.4444444444444444,0.671957671957672,0.5582010582010581
alfarisi,altria,0.5,0.8022222222222223,0.6511111111111112
algonquin power income fund,aim weingarten clb fund,0.40740740740740744,0.6867954911433172,0.5471014492753623
all american life insurance,american airlines aal,0.4814814814814815,0.7879365079365079,0.6347089947089948
allen,allergan,0.625,0.925,0.775
alliancedekalbrocktenn,alliance resource arlp,0.40909090909090906,0.8327272727272728,0.6209090909090909
allied group,altnia group,0.6666666666666667,0.8666666666666667,0.7666666666666667
allied van lines,alltel units,0.5,0.8136574074074074,0.6568287037037037
alliowa contracting,allison transmission,0.35,0.8206882591093118,0.5853441295546559
allscriptsmisys healthcare solutions,artisan intl small cap note,0.3055555555555556,0.6874298540965208,0.4964927048260382
allstate insurance,allstate all,0.5555555555555556,0.8777777777777778,0.7166666666666667
allstate life insurance,allstate all,0.4347826086956522,0.8608036890645586,0.6477931488801054
almaraz,armanda,0.4285714285714286,0.7428571428571429,0.5857142857142857
almeida,altria,0.5714285714285714,0.7968253968253969,0.6841269841269841
altamirano,altria,0.5,0.8677777777777779,0.683888888888889
alvarez,alphabet,0.5,0.6904761904761904,0.5952380952380951
alvareztorres,alpha nat res,0.46153846153846156,0.6923076923076922,0.5769230769230769
alzuraiki,altria,0.4444444444444444,0.7837037037037038,0.6140740740740741
am corrective counseling serv,american electric power,0.24137931034482762,0.7891254372813592,0.5152523738130934
am general,amc enter amc,0.5384615384615384,0.8441025641025642,0.6912820512820513
amalgamated local international union united automobile aerospace agricultural implement workers,axaequitable life insurance variable lifelncentive hy,0.26041666666666663,0.6416285496474176,0.4510226081570421
amana lp,avaya lnc,0.5555555555555556,0.7541666666666665,0.6548611111111111
ambient entertainment,amc enter amc,0.47619047619047616,0.6818070818070817,0.5789987789987789
amelco electric,amenican electric power,0.5652173913043479,0.8135934596804162,0.689405425492382
amelio,amedisys,0.5,0.8055555555555556,0.6527777777777778
american airlines,american airlines aal,0.8095238095238095,0.9619047619047618,0.8857142857142857
american bar assn,american express,0.6470588235294117,0.8911764705882353,0.7691176470588235
american charities for reasonable fundraising regulation,american savingsnow first union,0.3928571428571429,0.8235023041474655,0.6081797235023042
american civil liberties union,american savingsnow first union,0.6129032258064516,0.843147605083089,0.7280254154447703
american conference of governmental industrial hygienists,american cent ultra fundvalic,0.3508771929824561,0.8270633480252355,0.5889702705038458
american contract bridge league,american intl grp aig,0.4838709677419355,0.8719540787452502,0.6779125232435929
american contractors indemnity,american cent ultra fundvalic,0.5666666666666667,0.8372085385878489,0.7019376026272578
american currency trading,american express credit,0.6,0.848531969309463,0.7242659846547315
american express,american express,1.0,1.0,1.0
american express financial,american express credit,0.6923076923076923,0.9008449216687203,0.7965763069882064
american express financial advisors,american express credit,0.5714285714285714,0.8930848861283643,0.7322567287784678
american farm mortgage,american growth fd,0.5454545454545454,0.8763636363636363,0.7109090909090909
american federation of state county municipal employees employees pension plan,amercian centiry opportunity kopp emerging growth fund,0.3205128205128205,0.6869118535785201,0.5037123370456703
american financial services assn,american airlines aal,0.53125,0.8754761904761904,0.7033630952380951
american international group,american intl group,0.6785714285714286,0.9146616541353383,0.7966165413533834
american international group plan no,american intl group,0.5277777777777778,0.8845029239766081,0.706140350877193
american international life assurance,american airlines aal,0.43243243243243246,0.8658944658944658,0.6491634491634491
american kiosk management,american int group,0.48,0.8532698412698412,0.6666349206349206
american meat packing,american europacific fd,0.5652173913043479,0.8466252587991718,0.7059213250517599
american patriot insurance agency,american airlines grp aal,0.4545454545454546,0.8799156785243742,0.6672305665349144
american simmental assn,american airlines aal,0.5652173913043479,0.8862014370965777,0.7257094142004628
amerigroup illinois,american airlines aal,0.38095238095238093,0.8298823983034509,0.6054173896279159
ameriprise financial,ameriprise financial,1.0,1.0,1.0
ameritrade,ameritrade holding,0.5555555555555556,0.9111111111111111,0.7333333333333334
amida capital management ii,annaly capital mgmt reit,0.4814814814814815,0.7583333333333333,0.6199074074074074
amidon,amazon,0.6666666666666667,0.8222222222222222,0.7444444444444445
amunategui,am int group,0.41666666666666663,0.76,0.5883333333333334
anatol equipment manufacturing,automatic data processing,0.33333333333333337,0.7500000000000001,0.5416666666666667
anderson,albertson,0.6666666666666667,0.825,0.7458333333333333
andrews,avon prods,0.4,0.6571428571428571,0.5285714285714286
angarone,anadarko pete,0.46153846153846156,0.7897435897435898,0.6256410256410256
angel records,amgen com,0.46153846153846156,0.752014652014652,0.6067765567765568
anixter,abtec,0.4285714285714286,0.6761904761904761,0.5523809523809524
anokahennepin east metro narcotics,annaly capital mgmt reit,0.32352941176470584,0.6486928104575163,0.48611111111111105
anokahennepin independent school district no,arlington ny cent schl dist series b due,0.34090909090909094,0.6452716823406478,0.49309038662486937
anthem health plans of kentucky,axa equitable life ins hfe policy,0.2727272727272727,0.6601498859563376,0.46643857934180516
anthony mion sons,atheros communications,0.36363636363636365,0.7374537227478403,0.550545043192102
anthony sterling,ann taylor stores,0.2941176470588235,0.7660130718954249,0.5300653594771242
antonetti,at tt,0.4444444444444444,0.7733333333333333,0.6088888888888888
antuna,altna,0.6666666666666667,0.765,0.7158333333333333
antunezfernandes,allee del,0.3125,0.6226851851851852,0.4675925925925926
ap mollermaersk,applera,0.4,0.8019047619047619,0.6009523809523809
apontesobrado,applera,0.3846153846153846,0.6996336996336997,0.5421245421245422
appellate division,applied materials com,0.4285714285714286,0.8037037037037037,0.6161375661375661
applbaum ex rel applbaum,apple appl,0.41666666666666663,0.8433333333333334,0.63
apple computer,applera corps,0.5,0.8767032967032967,0.6883516483516483
applied financial,applied makenals,0.5882352941176471,0.8745098039215686,0.7313725490196079
applied materials,applied materials,1.0,1.0,1.0
apx alarm security solutions,axa moderate allocation,0.3928571428571429,0.6973775017253279,0.5451173222912353
araiza,armanda,0.5714285714285714,0.7968253968253969,0.6841269841269841
arbor hill concerned citizens neighborhood assn,a hilliard lyons growth,0.3191489361702128,0.6381842673288216,0.4786666017495172
arc ecology,arch coal,0.4545454545454546,0.8632996632996633,0.6589225589225589
archer daniels midland,archer daniels midland,1.0,1.0,1.0
aref hassan abul,abeona therap abeo,0.38888888888888884,0.6601851851851852,0.524537037037037
armstrong,arm holdings,0.41666666666666663,0.8055555555555556,0.6111111111111112
arnaout,altria group,0.41666666666666663,0.6746031746031745,0.5456349206349206
arnold foods,avon prods,0.5,0.765,0.6325000000000001
arona,altna,0.6,0.76,0.6799999999999999
arrow financial services,ally financial ally,0.5,0.7394736842105264,0.6197368421052631
