person_id,judge_flag,position,status,disclosures_count
285,2,4,judge with multiple positions,10.0
286,1,7,judge with multiple positions,
287,2,3,judge with multiple positions,14.0
288,2,7,judge with multiple positions,
289,3,9,judge with multiple positions,
290,2,10,judge with multiple positions,
291,4,8,judge with multiple positions,17.0
292,3,6,judge with multiple positions,11.0
293,1,5,judge with multiple positions,
294,3,7,judge with multiple positions,17.0
295,1,7,judge with multiple positions,18.0
296,7,14,judge with multiple positions,
297,2,5,judge with multiple positions,
298,1,7,judge with multiple positions,
299,3,11,judge with multiple positions,
300,1,8,judge with multiple positions,17.0
301,1,7,judge with multiple positions,6.0
302,1,5,judge with multiple positions,
303,2,9,judge with multiple positions,
304,3,10,judge with multiple positions,
305,1,3,judge with multiple positions,11.0
306,2,5,judge with multiple positions,
307,1,5,judge with multiple positions,16.0
308,1,12,judge with multiple positions,18.0
309,1,4,judge with multiple positions,
310,3,5,judge with multiple positions,7.0
311,1,3,judge with multiple positions,
312,2,8,judge with multiple positions,
313,2,6,judge with multiple positions,10.0
314,2,7,judge with multiple positions,
315,2,7,judge with multiple positions,
316,2,12,judge with multiple positions,
317,1,16,judge with multiple positions,18.0
318,2,8,judge with multiple positions,5.0
319,2,6,judge with multiple positions,
320,1,10,judge with multiple positions,6.0
321,1,8,judge with multiple positions,
322,2,4,judge with multiple positions,17.0
323,3,5,judge with multiple positions,
324,1,2,judge with multiple positions,
325,1,7,judge with multiple positions,
326,1,8,judge with multiple positions,
327,2,5,judge with multiple positions,
328,3,9,judge with multiple positions,6.0
329,2,6,judge with multiple positions,
330,3,6,judge with multiple positions,
331,1,7,judge with multiple positions,
332,2,7,judge with multiple positions,
333,2,10,judge with multiple positions,
334,1,9,judge with multiple positions,
335,1,11,judge with multiple positions,18.0
336,2,8,judge with multiple positions,12.0
337,2,5,judge with multiple positions,5.0
338,1,7,judge with multiple positions,6.0
339,2,8,judge with multiple positions,
340,2,5,judge with multiple positions,
341,1,4,judge with multiple positions,14.0
342,2,7,judge with multiple positions,15.0
343,1,6,judge with multiple positions,
344,1,10,judge with multiple positions,14.0
345,2,7,judge with multiple positions,
346,2,7,judge with multiple positions,
347,1,7,judge with multiple positions,
348,2,8,judge with multiple positions,
349,3,9,judge with multiple positions,16.0
350,1,4,judge with multiple positions,
351,1,4,judge with multiple positions,
352,2,6,judge with multiple positions,16.0
353,3,7,judge with multiple positions,
354,4,9,judge with multiple positions,
355,1,4,judge with multiple positions,17.0
356,1,4,judge with multiple positions,
357,1,4,judge with multiple positions,
358,2,3,judge with multiple positions,14.0
359,1,5,judge with multiple positions,
360,1,5,judge with multiple positions,
361,1,1,judge with 1 position,
362,1,2,judge with multiple positions,
363,1,6,judge with multiple positions,14.0
364,3,4,judge with multiple positions,16.0
365,4,8,judge with multiple positions,
366,1,5,judge with multiple positions,
367,1,3,judge with multiple positions,8.0
368,1,5,judge with multiple positions,
369,1,6,judge with multiple positions,
370,2,6,judge with multiple positions,
371,1,8,judge with multiple positions,
372,1,4,judge with multiple positions,
373,2,9,judge with multiple positions,10.0
374,2,3,judge with multiple positions,18.0
375,2,6,judge with multiple positions,
376,1,2,judge with multiple positions,
377,5,12,judge with multiple positions,
378,1,5,judge with multiple positions,
379,4,8,judge with multiple positions,
380,1,3,judge with multiple positions,
381,1,3,judge with multiple positions,
382,1,4,judge with multiple positions,7.0
383,1,10,judge with multiple positions,14.0
384,2,13,judge with multiple positions,17.0
385,1,7,judge with multiple positions,10.0
386,1,10,judge with multiple positions,5.0
387,2,5,judge with multiple positions,
388,1,4,judge with multiple positions,
389,1,3,judge with multiple positions,12.0
390,1,6,judge with multiple positions,10.0
391,1,8,judge with multiple positions,13.0
