person_id,judge_flag,position,status,disclosures_count,name_first,name_middle,name_last,political_affiliations,race,date_nominated,date_start,date_termination,court_short_name,court_full_name
13984,0,1,non-judge,,Jonathan,Keith,Renner,d,w,,,,,
13985,1,1,judge with 1 position,,Jennifer,Kathryn,Rockwell,d,w,,2014-08-20,,"California Superior Court, Sacramento County","Superior Court of California, County of Sacramento"
13986,1,2,judge with multiple positions,,Brenda,Johns,Penny,d,b,,2018-10-24,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
13987,1,2,judge with multiple positions,,Heather,Mardel,Jones,d,w,,2019-01-05,,"California Superior Court, Fresno County","Superior Court of California, County of Fresno"
13988,1,1,judge with 1 position,,Theresa,Raphael,McGonigle,d,w,,2018-11-19,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
13989,1,2,judge with multiple positions,,Terrance,Theron,Lewis,d,b,,2018-06-04,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
13990,1,1,judge with 1 position,,Thomas,E.,Stevens,d,w,,2014-12-12,,"California Superior Court, Alameda County","Superior Court of California, County of Alameda"
13991,1,1,judge with 1 position,,Noël,,Wise,d,w,,2014-12-30,,"California Superior Court, Alameda County","Superior Court of California, County of Alameda"
13992,1,1,judge with 1 position,,Hector,Eduardo,Gutierrez,d,h,,2014-11-26,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
13993,1,1,judge with 1 position,,Lillian,,Vega Jacobs,d,h,,2014-12-04,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
13994,1,1,judge with 1 position,,Rob,Bautista,Villeza,d,a,,2014-12-05,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
13995,1,1,judge with 1 position,,Michael,Erickson,Whitaker,d,a,,2015-01-23,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
13996,1,1,judge with 1 position,,Gassia,,Apkarian,d,mena,,2014-11-13,,"California Superior Court, Orange County","Superior Court of California, County of Orange"
13997,1,1,judge with 1 position,,Susanne,Son-Ok,Cho,d,a,,2015-01-09,,"California Superior Court, Riverside County","Superior Court of California, County of Riverside"
13998,1,1,judge with 1 position,,James,Trimble,Latting,d,w,,2015-02-06,,"California Superior Court, Riverside County","Superior Court of California, County of Riverside"
13999,3,3,judge with multiple positions,,Timothy, S.,Healy,,,,2017-09-15,2022-08-17,"California Superior Court, Calaveras County","Superior Court of California, County of Calaveras"
14000,2,2,judge with multiple positions,,Vicki,,Ashworth,,,,2019-01-01,2020-12-31,"California Superior Court, El Dorado County","Superior Court of California, County of El Dorado"
14001,1,1,judge with 1 position,,Lisa,Marie,Gamoian,,w,,2015-01-05,,"California Superior Court, Fresno County","Superior Court of California, County of Fresno"
14002,2,2,judge with multiple positions,,William, D.,Quan,,,,2019-01-07,2021-12-31,"California Superior Court, Imperial County","Superior Court of California, County of Imperial"
14003,1,1,judge with 1 position,,Alison,Matsumoto,Estrada,,,,2015-01-05,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14004,1,1,judge with 1 position,,Amy,N.,Carter,,w,,2015-01-05,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
