person_id,name_first,name_middle,name_last,political_affiliations,race,position_url,position_type,job_title,sector,organization,date_nominated,date_start,date_termination,court_resource_url,court_id,court_short_name,court_full_name,court_url
16054,Jeffrey,Randall,Shelton,d,w,https://www.courtlistener.com/api/rest/v4/positions/51910/,pres-jud,,2,,,2007-01-01,2010-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct280/,texdistct280,Tex. 279th Jud. Dist. Ct.,Texas 279th Judicial District Court,http://www.co.jefferson.tx.us/distcrts/279th.htm
14547,Christi,J.,Acker,d,w,https://www.courtlistener.com/api/rest/v4/positions/51909/,act-jus,,2,,,2003-01-01,2006-01-01,https://www.courtlistener.com/api/rest/v4/courts/nysupctrichmond/,nysupctrichmond,"New York Supreme Court, Richmond County","New York Supreme Court, Richmond County",
13823,Dylan,Marie,Sullivan,d,w,https://www.courtlistener.com/api/rest/v4/positions/51908/,jud,,2,,,2021-01-01,,https://www.courtlistener.com/api/rest/v4/courts/calsuppcted/,calsuppcted,"California Superior Court, El Dorado County","Superior Court of California, County of El Dorado",http://www.eldoradocourt.org/
13823,Dylan,Marie,Sullivan,d,w,https://www.courtlistener.com/api/rest/v4/positions/51907/,,Deputy Commissioner/Associate Chief Deputy Commissioner,2,California Parole Board,,2005-05-01,2011-09-01,,,,,
13823,Dylan,Marie,Sullivan,d,w,https://www.courtlistener.com/api/rest/v4/positions/51906/,com,,2,,,2011-09-12,2014-01-01,https://www.courtlistener.com/api/rest/v4/courts/calsuppcted/,calsuppcted,"California Superior Court, El Dorado County","Superior Court of California, County of El Dorado",http://www.eldoradocourt.org/
12879,Trina,Lynn,Thompson Stanley,d,b,https://www.courtlistener.com/api/rest/v4/positions/51905/,jud,,2,,,2003-01-01,,https://www.courtlistener.com/api/rest/v4/courts/calsuppctala/,calsuppctala,"California Superior Court, Alameda County","Superior Court of California, County of Alameda",http://www.alameda.courts.ca.gov/
12879,Trina,Lynn,Thompson Stanley,d,b,https://www.courtlistener.com/api/rest/v4/positions/51904/,clerk,,2,Alameda County Public Defender's Office,,1996-01-01,1996-01-01,,,,,
12879,Trina,Lynn,Thompson Stanley,d,b,https://www.courtlistener.com/api/rest/v4/positions/51903/,clerk,,2,,,,,https://www.courtlistener.com/api/rest/v4/courts/calsuppctala/,calsuppctala,"California Superior Court, Alameda County","Superior Court of California, County of Alameda",http://www.alameda.courts.ca.gov/
12879,Trina,Lynn,Thompson Stanley,d,b,https://www.courtlistener.com/api/rest/v4/positions/51902/,clerk,,2,Alameda County District Attorney's Office,,,,,,,,
12879,Trina,Lynn,Thompson Stanley,d,b,https://www.courtlistener.com/api/rest/v4/positions/51901/,clerk,,2,Nationals Center for Youth Law,,,,,,,,
12879,Trina,Lynn,Thompson Stanley,d,b,https://www.courtlistener.com/api/rest/v4/positions/51900/,,Lecturer,2,,,2014-01-01,2021-01-01,,,,,
12879,Trina,Lynn,Thompson Stanley,d,b,https://www.courtlistener.com/api/rest/v4/positions/51899/,adj-prof,,2,,,2018-01-01,,,,,,
12879,Trina,Lynn,Thompson Stanley,d,b,https://www.courtlistener.com/api/rest/v4/positions/51898/,com,,2,,,2000-01-01,2002-01-01,https://www.courtlistener.com/api/rest/v4/courts/calsuppctala/,calsuppctala,"California Superior Court, Alameda County","Superior Court of California, County of Alameda",http://www.alameda.courts.ca.gov/
12879,Trina,Lynn,Thompson Stanley,d,b,https://www.courtlistener.com/api/rest/v4/positions/51897/,,Deputy Public Defender,2,Alameda County Public Defender's Office,,1987-01-01,1991-01-01,,,,,
12879,Trina,Lynn,Thompson Stanley,d,b,https://www.courtlistener.com/api/rest/v4/positions/51896/,prac,,1,The Law Offices of Trina Thompson-Stanley,,1991-01-01,2000-01-01,,,,,
13935,Sunshine,Suzanne,Sykes,d,i,https://www.courtlistener.com/api/rest/v4/positions/51895/,prac,,2,California Indian Legal Services,,2001-01-01,2003-01-01,,,,,
13935,Sunshine,Suzanne,Sykes,d,i,https://www.courtlistener.com/api/rest/v4/positions/51894/,prac,,,"Juvenile Defense Panel, Southwest Justice Center",,2003-01-01,2005-01-01,,,,,
13935,Sunshine,Suzanne,Sykes,d,i,https://www.courtlistener.com/api/rest/v4/positions/51893/,,Deputy County Counsel,2,Riverside County Office of County Counsel,,2005-01-01,2013-01-01,,,,,
16053,Leah,,Shapiro,d,w,https://www.courtlistener.com/api/rest/v4/positions/51892/,prac,,1,Private Practice,,,,,,,,
16053,Leah,,Shapiro,d,w,https://www.courtlistener.com/api/rest/v4/positions/51891/,,Assistant Public Defender,2,Harris County Public Defender's Office,,2011-11-01,2018-12-01,,,,,
16053,Leah,,Shapiro,d,w,https://www.courtlistener.com/api/rest/v4/positions/51890/,ada,,2,Harris County District Attorney's Office,,2006-01-01,2011-01-01,,,,,
16053,Leah,,Shapiro,d,w,https://www.courtlistener.com/api/rest/v4/positions/51889/,pres-jud,,2,,,2019-01-01,2022-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct316/,texdistct316,Tex. 315th Jud. Dist. Ct.,Texas 315th Judicial District Court,https://www.justex.net/Courts/Juvenile/JuvenileCourt.aspx?crt=51
16049,Cheryl,C.,Lee-Shannon,d,b,https://www.courtlistener.com/api/rest/v4/positions/51888/,prac,,1,Private Practice,,1982-01-01,1984-01-01,,,,,
16049,Cheryl,C.,Lee-Shannon,d,b,https://www.courtlistener.com/api/rest/v4/positions/51887/,ada,,,Dallas County District Attorney's Office,,,,,,,,
16049,Cheryl,C.,Lee-Shannon,d,b,https://www.courtlistener.com/api/rest/v4/positions/51886/,ass-jud,,2,,,1990-01-01,1994-12-01,https://www.courtlistener.com/api/rest/v4/courts/texdistct306/,texdistct306,Tex. 305th Jud. Dist. Ct.,Texas 305th Judicial District Court,http://www.dallascounty.org/government/courts/juvenile/305th/
16049,Cheryl,C.,Lee-Shannon,d,b,https://www.courtlistener.com/api/rest/v4/positions/51885/,ass-jud,,2,,,1990-01-01,1994-12-01,https://www.courtlistener.com/api/rest/v4/courts/texdistct305/,texdistct305,Tex. 304th Jud. Dist. Ct.,Texas 304th Judicial District Court,http://www.dallascounty.org/government/courts/juvenile/304th/
16049,Cheryl,C.,Lee-Shannon,d,b,https://www.courtlistener.com/api/rest/v4/positions/51884/,pres-jud,,2,,,2019-01-01,2022-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct306/,texdistct306,Tex. 305th Jud. Dist. Ct.,Texas 305th Judicial District Court,http://www.dallascounty.org/government/courts/juvenile/305th/
16049,Cheryl,C.,Lee-Shannon,d,b,https://www.courtlistener.com/api/rest/v4/positions/51883/,pres-jud,,2,,,2015-01-01,2018-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct306/,texdistct306,Tex. 305th Jud. Dist. Ct.,Texas 305th Judicial District Court,http://www.dallascounty.org/government/courts/juvenile/305th/
